views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  168,957    107                8  kept     Mary Shelley
  168,200     40               10  kept     East of Eden (novel)
  168,104    103               11  kept     Salman Rushdie
  167,070     73               10  kept     Dead Poets Society
  166,849     64               13  kept     The Sound of Music (film)
  166,827     90                8  REMOVED  Bette Davis
  166,600    142               10  kept     Albert Camus
  166,368    111                9  kept     South Park
  166,029     81               14  kept     The Lord of the Rings: The Fellowship of the Ring
  165,636    119                7  kept     Krishna
  165,549     47               13  REMOVED  David Foster Wallace
  165,332    109                9  kept     Leonard Cohen
  165,268     66               13  kept     The Hunger Games (film)
  165,210    100                6  kept     Hamlet
  165,013     49               10  kept     Westworld (TV series)
  164,845     37               10  kept     Ozark (TV series)
  164,106     68                6  kept     Scooby-Doo
  163,848     69                8  kept     Roger Waters
  163,381    137                5  kept     Shiva
  163,133    132                8  kept     White House
  163,031     59                9  REMOVED  Coen brothers
  163,020    107                5  kept     Solomon
  162,802     41               11  kept     Death of a Salesman
  162,783     54               10  kept     There Will Be Blood
  162,769    102                8  kept     Superman
  162,633     32               12  REMOVED  Arrested Development
  162,242     61               10  kept     Bluey (TV series)
  161,851    164               12  kept     Augustine of Hippo
  161,529    104                9  kept     Divine Comedy
  161,405    106                1  REMOVED  U2
  160,996    109               11  kept     John Steinbeck
  160,948     71                5  kept     Disco
  160,935    202                4  kept     Chess
  160,772     75                8  kept     Moby-Dick
  160,714    104               11  kept     Palace of Versailles
  160,195     59               13  kept     To Kill a Mockingbird
  160,050     55                9  kept     Whiplash (2014 film)
  159,796     51                8  kept     Oldboy (2003 film)
  159,709     14               11  kept     Austin Powers
  159,309     67                8  kept     Daft Punk
  159,100     64               12  kept     Siren (mythology)
  159,057     89               11  kept     Peter Jackson
  158,985     37               12  kept     Ferris Bueller's Day Off
  158,645     66               10  kept     Guillermo del Toro
  158,582     45                9  REMOVED  Sammy Davis Jr.
  158,565    120                7  kept     Isaac Asimov
  158,561     82               10  REMOVED  Charlton Heston
  158,541     71                8  kept     Citizen Kane
  158,416    158               10  kept     Niccolò Machiavelli
  158,410     48                8  kept     New Order (band)
  158,344     51               12  kept     Trainspotting (film)
  158,051     55               12  kept     The Passion of the Christ
  157,494    104                9  kept     Squid Game
  157,311     19               11  REMOVED  Dune (franchise)
  157,290    104                7  kept     Poseidon
  156,992     52                7  kept     Billie Jean
  156,789     84               13  kept     The Avengers (2012 film)
  156,787     91                7  kept     Heracles
  156,538     39                4  REMOVED  30 Rock
  156,405     57                9  kept     Mad Max: Fury Road
  156,264     47                9  kept     Tomb Raider
  156,180     84                7  kept     Persephone
  156,026    113               15  kept     Seven Wonders of the Ancient World
  155,961     92                9  kept     Arthur Miller
  155,943    213               10  kept     Michelangelo
  155,877     56                8  kept     Fargo (1996 film)
  155,786     67                5  kept     Blink-182
  155,485     68                8  REMOVED  Carlos Santana
  155,260     73                9  kept     Money Heist
  155,141     37                9  kept     The Wheel of Time
  154,998     44               10  kept     The Hunger Games
  154,846     69                9  kept     The Catcher in the Rye
  154,533     57                5  kept     Borat
  154,515     37                6  kept     Us (2019 film)
  154,148     46                9  kept     Final Fantasy VII
  153,777     61                5  kept     Dr. Seuss
  153,173     75               10  kept     The Starry Night
  153,048     91                8  kept     Nickelodeon
  153,018     93               10  REMOVED  Sidney Poitier
  152,930     86                8  kept     Chuck Berry
  152,497     80               11  kept     Schrödinger's cat
  152,337     56                9  kept     The Exorcist
  151,830    126                3  kept     Kaaba
  151,827     72                9  kept     The Great Gatsby
  151,810     72                8  kept     Iron Man (2008 film)
